species,treatment,coral_id,day,regenerated,healed,debris,notes,use_image
acropora,airbrush,10a,0,no,no,no,5-7 deep polyps may be intact,"yes, angle slightly off"
acropora,airbrush,10a,3,no,no,yes,slight amount of debris present,"yes, angle slightly off"
acropora,airbrush,10a,8,no,incomplete,yes,"necrotic tissue/debris present, wound border forming at lower edges","yes, angle slightly off"
acropora,airbrush,10a,13,no,incomplete,yes,"necrotic tissue/debris present, wound border formed, slightly pink hue at edges","yes, angle slightly off"
acropora,airbrush,10a,18,no,incomplete,yes,"necrotic tissue/debris present, wound border formed, slightly pink hue at edges","yes, pair with day 23"
acropora,airbrush,10a,23,no,incomplete,yes,"wound border is clear, evidenced by pink hue, debris completely fills wound",yes
acropora,airbrush,10a,28,no,incomplete,yes,"healing edge still advancing, pink hue present","yes, pair with day 23 and 18"
acropora,airbrush,11a,0,no,no,no,"complete tissue removal, pink hue in tissue on left side",yes
acropora,airbrush,11a,3,no,no,no,NA,yes
acropora,airbrush,11a,8,no,no,yes,"necrotic tissue/debris, pink hue at wound edges, wound margin forming",yes
acropora,airbrush,11a,13,no,incomplete,yes,"wound is sealed off from healthy tissue, pink hue present",yes
acropora,airbrush,11a,18,no,incomplete,yes,wound border is clear and advancing towards center,yes
acropora,airbrush,11a,23,no,incomplete,yes,"wound border progressing, pink hue still present in newly healed tissue",yes. slightly rotated
acropora,airbrush,11a,28,no,incomplete,yes,newly healed tissue at border is well pigmented,yes
acropora,airbrush,1a,0,no,no,no,"tissue near completely removed, 12-15 polyp retain pigment",yes
acropora,airbrush,1a,3,no,no,yes,"slight amount of debris in wound, previously pigmented polyps lose coloration",no
acropora,airbrush,1a,8,no,incomplete,yes,"more debris in wound area, slight thickening of skeleton at border/wound margin forming","no, substanial change in angle"
acropora,airbrush,1a,13,no,incomplete,yes,"debris completely filled wound, wound border are present and moving in toward wound center",yes/no 1.25
acropora,airbrush,1a,18,no,incomplete,yes,"wound size is substantially smaller, debris present, healing margins moving to center of wound",NA
acropora,airbrush,1a,23,no,NA,NA,WRONG IMAGE? SIGNIFICANTLY DIFFERENT HEALING PROGRESSION,no
acropora,airbrush,1a,28,no,incomplete,yes,"wound is very nearly healed, significant progression of healed tissue toward the center of wound",yes
acropora,airbrush,5a,0,no,no,no,complete tissue removal,yes
acropora,airbrush,5a,3,no,no,yes,versy scant amount of debris present in wound area ubiquitous,"yes, rotate angle"
acropora,airbrush,5a,8,no,incomplete,yes,"scant amount of debris, evidence of tissue healing at wound edges",yes
acropora,airbrush,5a,13,no,incomplete,yes,"wound borders become pronounced, heavier debris in wound area",yes
acropora,airbrush,5a,18,no,incomplete,yes,"wound borders are clearly present, wound center with heavy debris",yes/no image must be rotated 180 degrees
acropora,airbrush,5a,23,no,incomplete,yes,"healing borders are progressing, heavy debris at center",yes
acropora,airbrush,5a,28,no,incomplete,yes,"healing borders are progressing, heavy debris at center",yes
acropora,airbrush,8a,0,no,no,no,"highly rugose sample, difficult to delineate wound area, wound area appears completely debrided",no
acropora,airbrush,8a,3,no,no,yes,"photo taken at different angle, necrotic tissue/debris present",no
acropora,airbrush,8a,8,no,no,yes,slight amount of debris still present,no
acropora,airbrush,8a,13,no,incomplete,yes,"pink hue at wound edges, clearly defined wound border, more debris in wound area",NA
acropora,airbrush,8a,18,no,incomplete,yes,"pink hue at wound edges, clearly defined wound border, inner wound tissue is completely covered by debris/no living tissue",NA
acropora,airbrush,8a,23,no,incomplete,yes,"pink hue at wound edges, clearly defined wound border, inner wound tissue is completely covered by debris/no living tissue",NA
acropora,airbrush,8a,28,no,incomplete,yes,"pink hue is lessened from previous image, healed tissue border progressed but wound is not completely healed",NA
pocillopora,airbrush,6a,0,no,no,no,"complete tissue removal, no skeletal damage","no, out of focus"
pocillopora,airbrush,6a,3,no,no,no,"complete tissue removal, perhaps a scant amount ubiquitous debris",no
pocillopora,airbrush,6a,8,no,no,yes,"ubiquitous debris present, difficult to see with angle change","no, angle is substantially changed"
pocillopora,airbrush,6a,13,no,no,yes,WRONG IMAGE? SIGNIFICANTLY DIFFERENT HEALING PROGRESSION. Annotated as is,no
pocillopora,airbrush,6a,18,no,incomplete,no,"pigmented coenosarc progressing at healing edges, scattered debris no longer present",no
pocillopora,airbrush,6a,23,no,incomplete,no,pigmented coenosarc progressing at healing edges,yes/no with image D4
pocillopora,airbrush,6a,28,no,incomplete,no,wound nearly completely healed,NA
pocillopora,airbrush,7a,0,no,no,no,"Complete tissue removal, no skeletal damage, wound at growing end","no, angle is substantially changed"
pocillopora,airbrush,7a,3,no,no,no,Complete tissue removal,"no, angle is substantially changed"
pocillopora,airbrush,7a,8,no,no,yes,slight amount of debris present at wound center,"no, angle is substantially changed"
pocillopora,airbrush,7a,13,no,incomplete,yes,"Outer polyps and coenosarc show signs of healing, debris and algae present at wound center",yes/no with previous image
pocillopora,airbrush,7a,18,no,incomplete,yes,"ANGLE OF IMAGE SUBSTANTIALLY CHANGED, annotation still possible",no
pocillopora,airbrush,7a,23,no,incomplete,yes,"coenosarc almost completely regained color except for wound center, small amount of debris still present",no
pocillopora,airbrush,7a,28,no,incomplete,no,coenosarc almost completely regained color except for wound center,no
pocillopora,airbrush,9a,0,no,no,no,"incomplete tissue removal, 10-15 polyps show color",NA
pocillopora,airbrush,9a,3,no,no,no,tissue removal complete/only asymbiotic tissue present,"no, images are not standardized"
pocillopora,airbrush,9a,8,no,no,yes,necrotic tissue/debris present,NA
pocillopora,airbrush,9a,13,no,no,yes,necrotic tissue localized to center of wound,NA
pocillopora,airbrush,9a,18,no,incomplete,yes,"necrotic tissue localized to center, outer polyps regaining color","yes, 0.63"
pocillopora,airbrush,9a,23,no,incomplete,yes,"necrotic tissue localized to center, outer polyps regaining color","yes, 0.63"
pocillopora,airbrush,9a,28,no,incomplete,yes,"necrotic tissue localized to center, outer polyps regaining color","yes, 0.63 is out of focus but is a good indicator"
porites,airbrush,2a,0,no,no,no,"complete tissue removal, skeleton undamaged",yes
porites,airbrush,2a,3,no,no,no,slight dark halo around wound site,yes
porites,airbrush,2a,8,no,no,no,"very slight amount of debris in wound, halo around wound site darkens, wound site appears larger",yes
porites,airbrush,2a,13,NA,NA,NA,IMAGE IS SIGNIFICANTLY DIFFERENT ANGLE THAN PREVIOUS,no
porites,airbrush,2a,18,no,no,yes,"wound border are not present, debris is ubiquitous and it is difficult to delineate between healing tissue and debris",no
porites,airbrush,2a,23,no,incomplete,yes,"debris is scattered, possibly pigment is returning to wound area",no
porites,airbrush,2a,28,yes,yes,no,"very small amount of debris localized to a single polyp, wound area is largley re-pigmented",yes
porites,airbrush,3a,0,no,no,no,complete tissue removal,yes
porites,airbrush,3a,3,no,no,yes,"poor image angle, wound seems to have grown since day 0 image, very slight amount of debris in wound",no
porites,airbrush,3a,8,no,no,yes,"debris present, wound edges become more clearly defined without healing",yes
porites,airbrush,3a,13,no,incomplete,yes,"wound endges are defined and appear to be healing, debris present",no
porites,airbrush,3a,18,no,incomplete,yes,"wound borders still present but less defined, algae and debris present",no
porites,airbrush,3a,23,no,incomplete,yes,"image nearly rejected for analysis, appears similar to day 18 in quality",no
porites,airbrush,3a,28,no,incomplete,yes,"wound covered in green algae more than debris, healed borders are less defined",no
porites,airbrush,4a,0,no,no,no,possibly incomplete wound formation,no
porites,airbrush,4a,3,no,no,yes,dark area of debris with white area in two islands of wound center,no
porites,airbrush,4a,8,no,no,yes,"majority of wound area is pale, wound borders becoming pronounced",no
porites,airbrush,4a,13,no,incomplete,yes,"border around wound forming, debris present",no
porites,airbrush,4a,18,no,incomplete,yes,"wound border clearly present, wound covered completely in debris",no
porites,airbrush,4a,23,no,NA,NA,WRONG IMAGE? SIGNIFICANTLY DIFFERENT HEALING PROGRESSION,no
porites,airbrush,4a,28,no,incomplete,yes,"wound is healing at borders, significant debris still present",NA
acropora,dremel,10b,0,no,no,no,"complete tissue removal, some skeletal damage",yes
acropora,dremel,10b,3,no,no,no,tissue removed,"yes, angle slightly off"
acropora,dremel,10b,8,no,incomplete,no,"3-4 polyps present in wound area, slight coenosarc coloration","yes, angle slightly off"
acropora,dremel,10b,13,no,incomplete,no,coenosarc color returning,"yes, angle slightly off"
acropora,dremel,10b,18,yes,incomplete,yes,"2 small clusters of debris in wound, no clear border, polyp coloration","yes, angle slightly off"
