Species,Outcome,Method,effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,(Intercept),-1.5190529496214313,0.7331679714627044,-2.071903040978249,0.03827448432695395,-2.956035768306622,-0.08207013093624105
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelDremel,-3.3637195374970648,1.3069494372434356,-2.573718188051471,0.010061218628487753,-5.9252933641090895,-0.8021457108850405
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelAirbrush-Dremel,-0.5226709584917175,0.9937689847112847,-0.5259481494520246,0.5989242332940609,-2.4704223774787706,1.4250804604953355
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)1",-2.1547210547179247,1.210956394353002,-1.7793547849996398,0.07518161436582976,-4.528151974498291,0.21870986506244128
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)2",5.848195014231646,1.566331939616839,3.7336881578640666,1.886961059752919e-4,2.7782408247478756,8.918149203715416
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)3",-3.7118041806926785,0.9784238247973287,-3.793656784125779,1.4844482631623033e-4,-5.62947963891137,-1.794128722473987
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)1",-1.5791597044602639,2.5945758952151436,-0.6086388559195796,0.5427638435175663,-6.664435014237713,3.506115605317185
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)1",-1.0386344396833869,1.671899859851776,-0.62123005368005,0.5344482679797091,-4.315497950750431,2.238229071383657
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)2",-3.137620627509451,2.4827510524800838,-1.2637677162094851,0.20631341185711558,-8.003723272949328,1.7284820179304252
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)2",2.496422549355113,2.0761957230322032,1.2024023176915057,0.22920769166451968,-1.5728462926441016,6.565691391354328
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)3",1.054566805132569,2.3200672733165195,0.4545414769913431,0.6494391458703466,-3.4926814922778533,5.601815102542991
Porites spp.,Algal Plug,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)3",0.5994364525471128,1.336635414118367,0.4484666844941377,0.6538164248224405,-2.020320819585666,3.219193724679892
