Species,Outcome,Method,effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,(Intercept),-4.72582186176611,1.2330076655681357,-3.8327595145879183,1.2671381200849016e-4,-7.142472478941462,-2.309171244590757
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelDremel,2.9909578779619577,1.4581124851304406,2.0512531841426425,0.040242297025155256,0.1331099216981002,5.848805834225815
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelAirbrush-Dremel,-1.0895640780871223,1.5986528577341295,-0.6815513904822523,0.49552266081739876,-4.22286610302805,2.0437379468538053
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)1",4.682725317399952,1.491072812961535,3.1405074766933945,0.001686554024629465,1.7602763056685164,7.605174329131388
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)2",6.548565888905987,1.9684536187415682,3.3267565090471796,8.786311165242364e-4,2.690467690934976,10.406664086876997
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)3",6.118157826420457,1.2613133579140208,4.850624777762411,1.2307317940565581e-6,3.646029071689698,8.590286581151215
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)1",0.040337041969105134,2.5138405980159275,0.016045982390825227,0.9871977077650768,-4.886699993016744,4.967374076954953
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)1",2.773510800208597,2.110624405084336,1.3140712262813874,0.18882223608273563,-1.3632370186479772,6.910258619065171
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)2",6.6577519172058475,2.429314222885004,2.740589033105498,0.006132916359883719,1.896383533220332,11.419120301191363
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)2",0.4142210699153314,2.4556031647772145,0.16868404303140397,0.8660451707269887,-4.398672693370583,5.227114833201246
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)3",-2.849268495442494,2.2673618920215297,-1.2566447841734472,0.20888229039630657,-7.293216143723285,1.5946791528382973
Porites spp.,Coenosarc Coverage,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)3",0.3797591738240915,1.736394195267152,0.21870562275501265,0.8268793686953602,-3.0235109118639354,3.7830292595121184
