Species,Outcome,Method,effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Porites spp.,Pink,Standard GLMM,fixed,cond,(Intercept),-3.974416919377298,1.4435558317585069,-2.7532131642845803,0.005901345776672259,-6.803734359296732,-1.1450994794578637
Porites spp.,Pink,Standard GLMM,fixed,cond,treatment_labelDremel,-1.4834099557720644,2.317105279243256,-0.6401996357526455,0.5220428195780483,-6.024852851476469,3.0580329399323407
Porites spp.,Pink,Standard GLMM,fixed,cond,treatment_labelAirbrush-Dremel,-9.378501368776712,5.3590912003378195,-1.7500171238335192,0.08011535897501851,-19.882127111304364,1.1251243737509373
Porites spp.,Pink,Standard GLMM,fixed,cond,"ns(day_c, 3)1",2.2985169300218544,1.3981762210492414,1.6439393657381507,0.10018872767634457,-0.44185810727497143,5.03889196731868
Porites spp.,Pink,Standard GLMM,fixed,cond,"ns(day_c, 3)2",7.543487077527868,3.03217509736016,2.487813808673285,0.012853100396259151,1.600533091882725,13.486441063173011
Porites spp.,Pink,Standard GLMM,fixed,cond,"ns(day_c, 3)3",0.4965481707057248,0.9316740339367742,0.5329634106121518,0.5940589088551972,-1.3294993811415,2.3225957225529497
Porites spp.,Pink,Standard GLMM,fixed,cond,"treatment_labelDremel:ns(day_c, 3)1",-15.797728268398002,6.8515033125868134,-2.305731683640317,0.02112562958413865,-29.226428001025027,-2.369028535770976
Porites spp.,Pink,Standard GLMM,fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)1",2.7225619779866723,3.1713796072213123,0.8584787427488432,0.39062816347756285,-3.4932278334718805,8.938351789445225
Porites spp.,Pink,Standard GLMM,fixed,cond,"treatment_labelDremel:ns(day_c, 3)2",-2.4545688773694985,10.689272163643864,-0.22962918707579816,0.818379924838863,-23.405157339058004,18.496019584319004
Porites spp.,Pink,Standard GLMM,fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)2",21.14265638137831,11.314206190649783,1.8686822588447163,0.061667033715623244,-1.0327802659553775,43.318093028712
Porites spp.,Pink,Standard GLMM,fixed,cond,"treatment_labelDremel:ns(day_c, 3)3",-10.073536111315669,14.567873407149758,-0.6914898166517347,0.4892577780425971,-38.62604332066799,18.478971098036656
Porites spp.,Pink,Standard GLMM,fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)3",0.6700509398330163,1.9774343713142797,0.33884863616873134,0.7347237600087492,-3.205649209734575,4.545751089400607
