Species,Outcome,Method,effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,(Intercept),-2.5335341077385833,0.6027042363552092,-4.203610917122245,2.626903350271057e-5,-3.714812704324509,-1.3522555111526575
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelDremel,0.4327067932564803,0.7370863606728725,0.5870503326929972,0.5571699032206407,-1.0119559271580498,1.8773695136710105
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelAirbrush-Dremel,-0.9832121997766968,0.8709092476929859,-1.1289490866943923,0.258919311935941,-2.690162959057822,0.7237385595044282
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)1",3.4065479324142274,1.2437939055686398,2.7388363274354655,0.006165706001626964,0.9687566733092812,5.844339191519174
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)2",8.249538647649421,1.6173153035235386,5.100760890394528,3.3829071945200495e-7,5.079658901097821,11.419418394201022
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)3",-0.7560606277845895,0.8561399863956846,-0.8831039780860778,0.37718009501809197,-2.4340641668447427,0.9219429112755636
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)1",-7.27942970628625,1.750871043253562,-4.157604715855729,3.216018713993093e-5,-10.711073892637302,-3.847785519935199
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)1",1.1757460642563349,1.9183742913401811,0.6128866872141806,0.5399512664653878,-2.584198455637968,4.935690584150637
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)2",-2.8669160487504017,2.0362958197366323,-1.4079074469254664,0.15915847769476704,-6.857982517303666,1.1241504198028625
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)2",4.062673191128565,2.3381262010339117,1.737576521460674,0.08228545981587894,-0.519969954207359,8.64531633646449
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)3",-3.8619296385783897,1.472073505983516,-2.6234624989043414,0.008704102660075076,-6.747140692901688,-0.9767185842550918
Porites spp.,RFP,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)3",-1.3051232634629304,1.3288908687942402,-0.98211470490961,0.32604334185429423,-3.909701505683783,1.299454978757922
