Species,Outcome,Method,effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,(Intercept),-2.7386591603406605,0.7146078151470516,-3.8323946398166675,1.2690195357224648e-4,-4.139264741099738,-1.3380535795815833
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelDremel,2.583765778186809,0.8972396952754546,2.8796828671223547,0.003980753677608545,0.8252082899472257,4.342323266426392
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,treatment_labelAirbrush-Dremel,-1.4025356966015683,1.011369929713158,-1.3867682391934983,0.16551244481634958,-3.384784333886163,0.5797129406830266
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)1",1.0605668514253672,1.2540268139533266,0.8457290064491717,0.3977039377440743,-1.3972805395706631,3.5184142424213976
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)2",10.951869014939462,1.8669906005017092,5.866054715003068,4.462865797381878e-9,7.2926346784813045,14.611103351397619
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"ns(day_c, 3)3",-2.464299962566452,0.9718807904189769,-2.535599002326298,0.01122551931080798,-4.369151309053967,-0.5594486160789374
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)1",0.052356157061183045,2.2376208763914334,0.023398135767135307,0.9813326920424665,-4.3333001717209765,4.438012485843343
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)1",0.5054277608691071,1.783916963346335,0.2833247125589342,0.776927935178342,-2.9909852386997677,4.001840760437982
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)2",1.677359574827259,2.4759984077791013,0.6774477598843861,0.4981219045402291,-3.1755081301982964,6.530227279852814
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)2",4.060448150359975,2.3965867131187717,1.694262981653585,0.09021532157228308,-0.6367754931800427,8.757671793899993
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelDremel:ns(day_c, 3)3",-4.287819203265057,1.7040345469689935,-2.5162748084491025,0.011860266563702392,-7.62766554373631,-0.947972862793804
Porites spp.,Yellow Aggregations,Penalized GLMM (weakly-informative Normal prior),fixed,cond,"treatment_labelAirbrush-Dremel:ns(day_c, 3)3",1.5299519228105074,1.4079625777944358,1.0866424626194022,0.27719485130710164,-1.2296040212467598,4.289507866867774
