day,species,treatment,n,k,outcome,prop
0,acropora,airbrush,5,0,Healed (complete coenosarc),0
0,acropora,dremel,5,0,Healed (complete coenosarc),0
0,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
0,pocillopora,dremel,3,0,Healed (complete coenosarc),0
0,porites,airbrush,3,0,Healed (complete coenosarc),0
0,porites,dremel,3,0,Healed (complete coenosarc),0
3,acropora,airbrush,5,0,Healed (complete coenosarc),0
3,acropora,dremel,5,0,Healed (complete coenosarc),0
3,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
3,pocillopora,dremel,3,0,Healed (complete coenosarc),0
3,porites,airbrush,3,0,Healed (complete coenosarc),0
3,porites,dremel,3,0,Healed (complete coenosarc),0
8,acropora,airbrush,5,0,Healed (complete coenosarc),0
8,acropora,dremel,5,0,Healed (complete coenosarc),0
8,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
8,pocillopora,dremel,2,0,Healed (complete coenosarc),0
8,porites,airbrush,3,0,Healed (complete coenosarc),0
8,porites,dremel,3,0,Healed (complete coenosarc),0
13,acropora,airbrush,5,0,Healed (complete coenosarc),0
13,acropora,dremel,5,2,Healed (complete coenosarc),0.4
13,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
13,pocillopora,dremel,3,0,Healed (complete coenosarc),0
13,porites,airbrush,3,0,Healed (complete coenosarc),0
13,porites,dremel,3,0,Healed (complete coenosarc),0
18,acropora,airbrush,5,0,Healed (complete coenosarc),0
18,acropora,dremel,5,2,Healed (complete coenosarc),0.4
18,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
18,pocillopora,dremel,3,0,Healed (complete coenosarc),0
18,porites,airbrush,3,0,Healed (complete coenosarc),0
18,porites,dremel,3,0,Healed (complete coenosarc),0
23,acropora,airbrush,5,0,Healed (complete coenosarc),0
23,acropora,dremel,5,4,Healed (complete coenosarc),0.8
23,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
23,pocillopora,dremel,3,1,Healed (complete coenosarc),0.3333333333333333
23,porites,airbrush,3,0,Healed (complete coenosarc),0
23,porites,dremel,2,1,Healed (complete coenosarc),0.5
28,acropora,airbrush,5,0,Healed (complete coenosarc),0
28,acropora,dremel,5,5,Healed (complete coenosarc),1
28,pocillopora,airbrush,3,0,Healed (complete coenosarc),0
28,pocillopora,dremel,3,1,Healed (complete coenosarc),0.3333333333333333
28,porites,airbrush,3,1,Healed (complete coenosarc),0.3333333333333333
28,porites,dremel,2,2,Healed (complete coenosarc),1
0,acropora,airbrush,5,0,Regenerated (polyps in center),0
0,acropora,dremel,5,0,Regenerated (polyps in center),0
0,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
0,pocillopora,dremel,3,0,Regenerated (polyps in center),0
0,porites,airbrush,3,0,Regenerated (polyps in center),0
0,porites,dremel,3,0,Regenerated (polyps in center),0
3,acropora,airbrush,5,0,Regenerated (polyps in center),0
3,acropora,dremel,5,0,Regenerated (polyps in center),0
3,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
3,pocillopora,dremel,3,0,Regenerated (polyps in center),0
3,porites,airbrush,3,0,Regenerated (polyps in center),0
3,porites,dremel,3,0,Regenerated (polyps in center),0
8,acropora,airbrush,5,0,Regenerated (polyps in center),0
8,acropora,dremel,5,3,Regenerated (polyps in center),0.6
8,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
8,pocillopora,dremel,3,0,Regenerated (polyps in center),0
8,porites,airbrush,3,0,Regenerated (polyps in center),0
8,porites,dremel,3,0,Regenerated (polyps in center),0
13,acropora,airbrush,5,0,Regenerated (polyps in center),0
13,acropora,dremel,5,4,Regenerated (polyps in center),0.8
13,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
13,pocillopora,dremel,3,0,Regenerated (polyps in center),0
13,porites,airbrush,3,0,Regenerated (polyps in center),0
13,porites,dremel,3,3,Regenerated (polyps in center),1
18,acropora,airbrush,5,0,Regenerated (polyps in center),0
18,acropora,dremel,5,4,Regenerated (polyps in center),0.8
18,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
18,pocillopora,dremel,3,0,Regenerated (polyps in center),0
18,porites,airbrush,3,0,Regenerated (polyps in center),0
18,porites,dremel,3,3,Regenerated (polyps in center),1
23,acropora,airbrush,5,0,Regenerated (polyps in center),0
23,acropora,dremel,5,5,Regenerated (polyps in center),1
23,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
23,pocillopora,dremel,3,1,Regenerated (polyps in center),0.3333333333333333
23,porites,airbrush,3,0,Regenerated (polyps in center),0
23,porites,dremel,3,3,Regenerated (polyps in center),1
28,acropora,airbrush,5,0,Regenerated (polyps in center),0
28,acropora,dremel,5,5,Regenerated (polyps in center),1
28,pocillopora,airbrush,3,0,Regenerated (polyps in center),0
28,pocillopora,dremel,3,1,Regenerated (polyps in center),0.3333333333333333
28,porites,airbrush,3,1,Regenerated (polyps in center),0.3333333333333333
28,porites,dremel,3,3,Regenerated (polyps in center),1
0,acropora,airbrush,5,0,Algal plug,0
0,acropora,dremel,5,0,Algal plug,0
0,pocillopora,airbrush,3,0,Algal plug,0
0,pocillopora,dremel,3,0,Algal plug,0
0,porites,airbrush,3,0,Algal plug,0
0,porites,dremel,3,0,Algal plug,0
3,acropora,airbrush,5,4,Algal plug,0.8
3,acropora,dremel,5,0,Algal plug,0
3,pocillopora,airbrush,3,0,Algal plug,0
3,pocillopora,dremel,3,1,Algal plug,0.3333333333333333
3,porites,airbrush,3,2,Algal plug,0.6666666666666666
3,porites,dremel,3,1,Algal plug,0.3333333333333333
8,acropora,airbrush,5,5,Algal plug,1
8,acropora,dremel,5,0,Algal plug,0
8,pocillopora,airbrush,3,3,Algal plug,1
8,pocillopora,dremel,3,1,Algal plug,0.3333333333333333
8,porites,airbrush,3,2,Algal plug,0.6666666666666666
8,porites,dremel,3,0,Algal plug,0
13,acropora,airbrush,5,5,Algal plug,1
13,acropora,dremel,5,0,Algal plug,0
13,pocillopora,airbrush,3,3,Algal plug,1
13,pocillopora,dremel,2,1,Algal plug,0.5
13,porites,airbrush,2,2,Algal plug,1
13,porites,dremel,3,0,Algal plug,0
18,acropora,airbrush,5,5,Algal plug,1
18,acropora,dremel,5,1,Algal plug,0.2
18,pocillopora,airbrush,3,2,Algal plug,0.6666666666666666
18,pocillopora,dremel,3,2,Algal plug,0.6666666666666666
18,porites,airbrush,3,3,Algal plug,1
18,porites,dremel,3,0,Algal plug,0
23,acropora,airbrush,5,5,Algal plug,1
23,acropora,dremel,5,0,Algal plug,0
23,pocillopora,airbrush,3,2,Algal plug,0.6666666666666666
23,pocillopora,dremel,3,1,Algal plug,0.3333333333333333
23,porites,airbrush,3,3,Algal plug,1
23,porites,dremel,2,0,Algal plug,0
28,acropora,airbrush,5,5,Algal plug,1
28,acropora,dremel,5,0,Algal plug,0
28,pocillopora,airbrush,3,1,Algal plug,0.3333333333333333
28,pocillopora,dremel,3,1,Algal plug,0.3333333333333333
28,porites,airbrush,3,2,Algal plug,0.6666666666666666
28,porites,dremel,2,0,Algal plug,0
