section,outcome,model,term,n,estimate,estimate_type,ci_lower,ci_upper,effect_pct,fold_change,test_stat,df,p_value,p_formatted,notes
Sample size,design,Descriptive,Parent colonies (total),11,11,count,NA,NA,NA,NA,NA,NA,NA,NA,Each parent split into airbrush + scrape fragments (paired design)
Sample size,design,Descriptive,Coral fragments (total),22,22,count,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sample size,design,Descriptive,Acropora parent colonies,5,5,count,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sample size,design,Descriptive,Pocillopora parent colonies,3,3,count,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sample size,design,Descriptive,Porites parent colonies,3,3,count,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sample size,design,Descriptive,Photographic timepoints per fragment,7,7,count,NA,NA,NA,NA,NA,NA,NA,NA,"days = 0, 3, 8, 13, 18, 23, 28"
Sample size,healed,Descriptive,Observations with non-NA healed,151,151,count,NA,NA,NA,NA,NA,NA,NA,NA,3 NA from photo errors
Sample size,regenerated,Descriptive,Observations with non-NA regenerated,154,154,count,NA,NA,NA,NA,NA,NA,NA,NA,6 NA from images where polyp structure could not be assessed
Observed counts,debris,Descriptive,Airbrush fragments with algae/debris at any timepoint,11,11,count of fragments,NA,NA,NA,NA,NA,NA,NA,NA,11 / 11 = 100%
Observed counts,debris,Descriptive,Dremel fragments with algae/debris at any timepoint,11,4,count of fragments,NA,NA,NA,NA,NA,NA,NA,NA,4 / 11 = 36%
Observed counts,healed,Descriptive,Airbrush fragments fully healed at day 28,11,1,count of fragments,NA,NA,9.091,NA,NA,NA,NA,NA,1 / 11 = 9%
Observed counts,healed,Descriptive,Dremel fragments fully healed at day 28,10,8,count of fragments,NA,NA,80,NA,NA,NA,NA,NA,8 / 10 = 80%
Observed counts,regenerated,Descriptive,Airbrush fragments with polyp regeneration at any timepoint,11,1,count of fragments,NA,NA,9.091,NA,NA,NA,NA,NA,1 / 11 = 9%
Observed counts,regenerated,Descriptive,Dremel fragments with polyp regeneration at any timepoint,11,9,count of fragments,NA,NA,81.82,NA,NA,NA,NA,NA,9 / 11 = 82%
Model comparison,healed,Binomial GLMM,Treatment × Species interaction,NA,3.553,χ²,NA,NA,NA,NA,3.553,2,0.169,0.169,"anova(mod_add, mod_int); additive preferred if NS"
Main effects,healed,Binomial GLMM (additive),treatment,NA,16.25,χ²,NA,NA,NA,NA,16.25,1,5.56e-5,<0.001,drop1(mod_add)
Main effects,healed,Binomial GLMM (additive),species,NA,4.803,χ²,NA,NA,NA,NA,4.803,2,0.0906,0.091,drop1(mod_add)
Fixed-effect ORs,healed,Binomial GLMM (additive),Dremel vs Airbrush,NA,25.96,OR,3.328,202.4,2496,25.96,NA,NA,0.00189,0.002,"SUPPORTING (timepoint-level, pseudoreplicated; singular RE, temporal autocorrelation). Primary = fragment-level (exp1_fragment_level_primary.csv). For healed, lead with the Firth row (separation-robust)."
Fixed-effect ORs,healed,Binomial GLMM (additive),Pocillopora vs Acropora,NA,0.1957,OR,0.03949,0.9703,-80.43,0.1957,NA,NA,0.0458,0.046,"SUPPORTING (timepoint-level, pseudoreplicated; singular RE, temporal autocorrelation). Primary = fragment-level (exp1_fragment_level_primary.csv). For healed, lead with the Firth row (separation-robust)."
Fixed-effect ORs,healed,Binomial GLMM (additive),Porites vs Acropora,NA,0.4622,OR,0.1289,1.657,-53.78,0.4622,NA,NA,0.236,0.236,"SUPPORTING (timepoint-level, pseudoreplicated; singular RE, temporal autocorrelation). Primary = fragment-level (exp1_fragment_level_primary.csv). For healed, lead with the Firth row (separation-robust)."
Cell probabilities,healed,Binomial GLMM (additive),acropora × airbrush,NA,0.02041,Pr(healed),0.002806,0.1337,2.041,NA,NA,NA,NA,NA,"marginal probability, emmeans response scale"
Cell probabilities,healed,Binomial GLMM (additive),pocillopora × airbrush,NA,0.004062,Pr(healed),3.558e-4,0.04466,0.4062,NA,NA,NA,NA,NA,"marginal probability, emmeans response scale"
Cell probabilities,healed,Binomial GLMM (additive),porites × airbrush,NA,0.009538,Pr(healed),0.001051,0.08103,0.9538,NA,NA,NA,NA,NA,"marginal probability, emmeans response scale"
Cell probabilities,healed,Binomial GLMM (additive),acropora × dremel,NA,0.351,Pr(healed),0.2141,0.5178,35.1,NA,NA,NA,NA,NA,"marginal probability, emmeans response scale"
Cell probabilities,healed,Binomial GLMM (additive),pocillopora × dremel,NA,0.09573,Pr(healed),0.02406,0.3126,9.573,NA,NA,NA,NA,NA,"marginal probability, emmeans response scale"
Cell probabilities,healed,Binomial GLMM (additive),porites × dremel,NA,0.2,Pr(healed),0.07707,0.428,20,NA,NA,NA,NA,NA,"marginal probability, emmeans response scale"
Contrast: treatment within species,healed,Binomial GLMM (additive),acropora: dremel vs airbrush,NA,0.3306,Δ probability,0.173,0.4882,33.06,NA,NA,NA,3.92e-5,<0.001,Dremel − Airbrush; emmeans response scale
Contrast: treatment within species,healed,Binomial GLMM (additive),pocillopora: dremel vs airbrush,NA,0.09167,Δ probability,-0.02943,0.2128,9.167,NA,NA,NA,0.138,0.138,Dremel − Airbrush; emmeans response scale
Contrast: treatment within species,healed,Binomial GLMM (additive),porites: dremel vs airbrush,NA,0.1904,Δ probability,0.02205,0.3588,19.04,NA,NA,NA,0.0266,0.027,Dremel − Airbrush; emmeans response scale
Contrast: species within treatment,healed,Binomial GLMM (additive),airbrush: acropora vs pocillopora,NA,0.01635,Δ probability,-0.02334,0.05604,1.635,NA,NA,NA,0.599,0.599,Tukey-adjusted; emmeans response scale
Contrast: species within treatment,healed,Binomial GLMM (additive),airbrush: acropora vs porites,NA,0.01087,Δ probability,-0.01996,0.0417,1.087,NA,NA,NA,0.687,0.687,Tukey-adjusted; emmeans response scale
